"","Alapterület","Szobák száma"," Hitelre van szükséged? Kalkulálj! ","Ingatlan állapota","Komfort","Energiatanúsítvány","Emelet","Épület szintjei","Lift","Belmagasság","Fűtés","Akadálymentesített","Fürdő és WC","Tájolás","Kilátás","Kertkapcsolatos","Tetőtér","Parkolás","Építés éve","Légkondicionáló","Rezsiköltség","Erkély","Parkolóhely ára","Panelprogram"," 118 000 € "," 80 880 € "," 69 540 € "," 144 330 € "," 80 370 € "," 97 150 € "," 73 880 € "," 76 000 € "," 178 250 € "," 69 180 € "," 71 470 € "," 195 690 € "," 193 860 € "," 220 090 € "," 229 000 € "," 144 900 € "," 363 430 € "," 103 640 € "," 250 000 € "," 208 000 € "," 141 440 € "," 77 480 € "," 81 330 € "," 222 290 € "," 83 050 € "
"59","73 m²"," 3 ","59,9 millió Ft","felújított","nincs megadva","nincs megadva","2","2","nincs megadva","3 m-nél alacsonyabb","nincs megadva","nincs megadva","külön helyiségben","kelet","panorámás","nincs megadva","nincs megadva","teremgarázs hely - kötelező megvenni","2001-2010 között","van","16 900 Ft/hó","6 m²","3 M Ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","28 m²"," 1 ","26,3 millió Ft","felújított","komfortos","nincs megadva","földszint","2","nincs","3 m vagy magasabb","gáz (konvektor)","nem","egy helyiségben","dél","utcai","nem","nem tetőtéri","utca, közterület",NA,"nincs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","50 m²"," 2 ","34,5 millió Ft","felújított","összkomfortos","nincs megadva","4","4","nincs","3 m-nél alacsonyabb","távfűtés","nincs megadva","külön helyiségben","nincs megadva","kertre néző","nincs megadva","nincs megadva","utca, közterület - ingyenes",NA,NA,"25 000 Ft/hó","4 m²",NA,"nem vett részt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","51 m²"," 2 ","36,2 millió Ft","újszerű","komfortos","nincs megadva","1","2","nincs megadva","3 m-nél alacsonyabb","gáz (konvektor)","nincs megadva","külön helyiségben","nyugat","udvari","nem","nincs megadva","udvari beálló - benne van az árban","1950-1980 között","nincs",NA,"4 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","50 m²"," 2 ","26,99 millió Ft","jó állapotú","összkomfortos","nincs megadva","2","nincs megadva","nincs","3 m vagy magasabb","távfűtés","nincs megadva","nincs megadva","nincs megadva","utcai","nincs megadva","nem tetőtéri","nincs megadva","1950-1980 között","van",NA,"6 m²",NA,"nincs megadva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","49 m²"," 2 ","32,9 millió Ft","jó állapotú","összkomfortos","nincs megadva","3","4","nincs","3 m-nél alacsonyabb","gáz (cirko)","nem","egy helyiségben","délkelet","kertre néző","nem","nem tetőtéri","utca, közterület - ingyenes","1950-1980 között","van",NA,"1.3 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","46 m²"," 1 + 1 fél ",NA,"jó állapotú","összkomfortos","nincs megadva","3","10","van","3 m-nél alacsonyabb","távfűtés egyedi méréssel","igen","nincs megadva","délnyugat","utcai","nem","nem tetőtéri","utca, közterület","1950-1980 között",NA,NA,NA,NA,"részt vett",NA,NA,NA,NA,"29,5 millió Ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","56 m²"," 2 ","32,55 millió Ft","felújított","összkomfortos","nincs megadva","8","10","van","3 m-nél alacsonyabb","távfűtés egyedi méréssel","igen","külön helyiségben","kelet","panorámás","nincs megadva","nincs megadva","utca, közterület - ingyenes",NA,NA,"35 000 Ft/hó",NA,NA,"részt vett",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","64 m²"," 2 ","44,99 millió Ft","felújított","összkomfortos","nincs megadva","3","4","nincs","3 m-nél alacsonyabb","elektromos","nincs megadva","külön helyiségben","kelet","utcai","nem","zárószint","utca, közterület - ingyenes","1950-1980 között","van",NA,"2 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","57 m²"," 3 ","52 millió Ft","felújított","összkomfortos","nincs megadva","3","nincs megadva","nincs","3 m-nél alacsonyabb","gáz (cirko)","nincs megadva","külön helyiségben","nincs megadva","nincs megadva","igen","nincs megadva","utca, közterület","1950 előtt",NA,NA,"4.2 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","71 m²"," 2 ","41,48 millió Ft","jó állapotú","komfortos","nincs megadva","1","2","nincs megadva","3 m-nél alacsonyabb","gáz (cirko)","nincs megadva","külön helyiségben","északnyugat","utcai","nem","nincs megadva","udvari beálló - benne van az árban","1950-1980 között","nincs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","34 m²"," 1 ","19,4 millió Ft","jó állapotú","összkomfortos","nincs megadva","1","2","nincs","3 m-nél alacsonyabb","elektromos","nem","egy helyiségben","nyugat","utcai","nem","nem tetőtéri","utca, közterület - ingyenes","1950 előtt","nincs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","46 m²"," 1 + 1 fél ","27,9 millió Ft","jó állapotú","összkomfortos","nincs megadva","4","10","van","3 m-nél alacsonyabb","távfűtés egyedi méréssel","nincs megadva","egy helyiségben","nyugat","nincs megadva","nincs megadva","nem tetőtéri","nincs megadva","1950-1980 között","van",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","37 m²"," 2 ","30,5 millió Ft","jó állapotú","nincs megadva","nincs megadva","nincs megadva","nincs megadva","van","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","70 m²"," 3 ","44,9 millió Ft","felújított","összkomfortos","nincs megadva","földszint","3","nincs","3 m vagy magasabb","gáz (cirko)","nincs megadva","külön és egyben is","nyugat","kertre néző","nincs megadva","nincs megadva","utca, közterület - fizetős övezet","1950 előtt","van",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","40 m²"," 1 ","34 millió Ft","jó állapotú","összkomfortos","nincs megadva","2","3","nincs","3 m-nél alacsonyabb","házközponti","nincs megadva","egy helyiségben","kelet","utcai","nincs megadva","nincs megadva","utca, közterület - ingyenes",NA,"van",NA,"2 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","29 m²"," 1 ","24,9 millió Ft","jó állapotú","összkomfortos","nincs megadva","2","nincs megadva","nincs megadva","nincs megadva","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","kertre néző","nincs megadva","nincs megadva","nincs megadva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","51 m²"," 2 ","47,9 millió Ft","újszerű","összkomfortos","nincs megadva","1","5","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","nem","egy helyiségben","nyugat","kertre néző","nem","nem tetőtéri","utca, közterület - ingyenes","2018","van",NA,"6 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","97 m²"," 4 ","74,9 millió Ft","felújított","duplakomfortos","nincs megadva","2","3","nincs","3 m-nél alacsonyabb","gáz (cirko)","nem","nincs megadva","nincs megadva","kertre néző","nincs megadva","legfelső emelet, nem tetőtéri","önálló garázs - kötelező megvenni","1981-2000 között","van",NA,"10 m²","5.5 M Ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","78 m²"," 3 + 1 fél ","66,7 millió Ft","felújított","nincs megadva","nincs megadva","3","nincs megadva","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","nincs megadva","nincs megadva","dél","kertre néző","nincs megadva","nem tetőtéri","nincs megadva","2001-2010 között","van",NA,"15 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","54 m²"," 1 ","50 millió Ft","jó állapotú","összkomfortos","nincs megadva","2","nincs megadva","nincs","3 m vagy magasabb","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","utcai","nincs megadva","nincs megadva","utca, közterület","1950 előtt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","71 m²"," 2 + 1 fél ","54,9 millió Ft","jó állapotú","összkomfortos","nincs megadva","3","nincs megadva","van","3 m vagy magasabb","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","utca, közterület","1950 előtt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","59 m²"," 2 ","39,9 millió Ft","felújított","összkomfortos","nincs megadva","2","4","nincs","3 m-nél alacsonyabb","gáz (cirko)","nincs megadva","egy helyiségben","nincs megadva","nincs megadva","nincs megadva","nincs megadva","utca, közterület",NA,"van",NA,"2.5 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","52 m²"," 2 + 1 fél ","46,5 millió Ft","újszerű","összkomfortos","nincs megadva","földszint","2","nincs","3 m-nél alacsonyabb","gáz (cirko)","nem","külön helyiségben","délkelet","kertre néző","igen","nem tetőtéri","udvari beálló - bérelhető","1981-2000 között","van",NA,"15 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","55 m²"," 1 + 2 fél ","56,99 millió Ft","újszerű","összkomfortos","nincs megadva","2","2","nincs","3 m-nél alacsonyabb","gáz (cirko)","nem","egy helyiségben","délnyugat","panorámás","nincs megadva","nem tetőtéri","teremgarázs hely - kötelező megvenni","2001-2010 között","van","18 000 Ft/hó","35 m²","3 M Ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","52 m²"," 2 ",NA,"felújított","összkomfortos","nincs megadva","félemelet","4","nincs","3 m-nél alacsonyabb","gáz (konvektor)","nem","nincs megadva","délnyugat","utcai","nem","nem tetőtéri","utca, közterület","1950-1980 között",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34,9 millió Ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","40 m²"," 1 + 1 fél ","32 millió Ft","jó állapotú","összkomfortos","nincs megadva","földszint","3","nincs megadva","3 m-nél alacsonyabb","gáz (konvektor)","nincs megadva","egy helyiségben","nincs megadva","nincs megadva","nincs megadva","nincs megadva","udvari beálló",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","46 m²"," 1 + 1 fél ",NA,"jó állapotú","összkomfortos","CC","9","10","van","3 m-nél alacsonyabb","távfűtés egyedi méréssel","igen","nincs megadva","kelet","panorámás","nem","nem tetőtéri","utca, közterület","1950-1980 között",NA,NA,NA,NA,"részt vett",NA,NA,NA,NA,NA,NA,"26,9 millió Ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","66 m²"," 2 + 2 fél ","41,5 millió Ft","jó állapotú","összkomfortos","CC","4","4","nincs","3 m-nél alacsonyabb","házközponti egyedi méréssel","nincs megadva","külön helyiségben","nincs megadva","panorámás","nincs megadva","legfelső emelet, nem tetőtéri","utca, közterület - ingyenes","1981-2000 között","nincs",NA,"5 m²",NA,"nincs megadva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","40 m²"," 2 ","24,9 millió Ft","felújított","összkomfortos","nincs megadva","1","2","nincs","3 m-nél alacsonyabb","gáz (cirko)","nem","külön helyiségben","délnyugat","utcai","nem","nem tetőtéri","utca, közterület - ingyenes","1950-1980 között","nincs",NA,"3 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","77 m²"," 3 ","41,9 millió Ft","jó állapotú","nincs megadva","nincs megadva","földszint","5","nincs","nincs megadva","elektromos","nincs megadva","külön helyiségben","nincs megadva","nincs megadva","nincs megadva","nem tetőtéri","önálló garázs - benne van az árban","1950-1980 között",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","51 m²"," 2 ","33,9 millió Ft","felújított","összkomfortos","nincs megadva","4","4","nincs","3 m-nél alacsonyabb","gáz (konvektor)","nem","külön helyiségben","délnyugat","kertre néző","nem","nem tetőtéri","utca, közterület - ingyenes","1950-1980 között","nincs",NA,"4 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","37 m²"," 1 + 1 fél ",NA,"felújított","összkomfortos","nincs megadva","5","3","van","3 m-nél alacsonyabb","vegyes tüzelésű kazán","nem","nincs megadva","kelet","utcai","nem","nem tetőtéri","önálló garázs - megvásárolható","1950 előtt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26,9 millió Ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","43 m²"," 1 + 2 fél ","38,9 millió Ft","újszerű","összkomfortos","nincs megadva","5","6","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","igen","egy helyiségben","dél","udvari","nem","nem tetőtéri","teremgarázs hely - bérelhető","2001-2010 között","van",NA,"3 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","71 m²"," 3 ","41,9 millió Ft","jó állapotú","nincs megadva","nincs megadva","1","3","nincs megadva","nincs megadva","gáz (cirko)","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","1950-1980 között",NA,NA,"5 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","93 m²"," 3 + 2 fél ","48,9 millió Ft","felújított","duplakomfortos","nincs megadva","1","2","nincs","3 m-nél alacsonyabb","gáz (cirko)","nem","egy helyiségben","délkelet","kertre néző","nincs megadva","nincs megadva","utca, közterület - ingyenes","1981-2000 között","nincs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","57 m²"," 3 ","37,9 millió Ft","felújított","összkomfortos","nincs megadva","2","2","nincs","3 m-nél alacsonyabb","gáz (cirko)","nincs megadva","egy helyiségben","délkelet","kertre néző","nincs megadva","legfelső emelet, nem tetőtéri","udvari beálló - benne van az árban","1950-1980 között","van","14 000 Ft/hó","7 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","74 m²"," 3 ","68 millió Ft","újszerű","összkomfortos","nincs megadva","6","6","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","igen","egy helyiségben","délkelet","panorámás","nem","legfelső emelet, nem tetőtéri","teremgarázs hely - benne van az árban","2018","van","30 000 Ft/hó","30 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","32 m²"," 1 ","23,9 millió Ft","felújított","összkomfortos","nincs megadva","földszint","földszintes","nincs","3 m vagy magasabb","gáz (konvektor)","nincs megadva","egy helyiségben","délnyugat","utcai","igen","nincs megadva","udvari beálló - benne van az árban","1950 előtt",NA,"20 000 Ft/hó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","71 m²"," 2 ","41,9 millió Ft","jó állapotú","összkomfortos","nincs megadva","1","3","nincs","3 m-nél alacsonyabb","gáz (cirko)","nincs megadva","külön helyiségben","nyugat","kertre néző","nincs megadva","nem tetőtéri","udvari beálló - bérelhető","1950-1980 között","nincs",NA,"5 m²","300 Ft/hó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","46 m²"," 2 ","25,8 millió Ft","jó állapotú","összkomfortos","nincs megadva","9","10","van","3 m-nél alacsonyabb","távfűtés","nem","egy helyiségben","délnyugat","panorámás","nem","nem tetőtéri","utca, közterület - ingyenes","1950-1980 között","van","25 000 Ft/hó",NA,NA,"nem vett részt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","60 m²"," 1 + 2 fél ","55 millió Ft","újszerű","összkomfortos","nincs megadva","3","4","nincs","3 m-nél alacsonyabb","gáz (cirko), padlófűtés","nincs megadva","egy helyiségben","nincs megadva","kertre néző","nincs megadva","nincs megadva","udvari beálló - benne van az árban","2001-2010 között","van","30 000 Ft/hó","3.4 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","64 m²"," 1 + 2 fél ","42,9 millió Ft","jó állapotú","összkomfortos","nincs megadva","9","nincs megadva","van","3 m-nél alacsonyabb","távfűtés egyedi méréssel","nincs megadva","nincs megadva","délkelet","utcai","nincs megadva",NA,"nincs megadva","1950-1980 között",NA,NA,"6 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","46 m²"," 2 ","28,95 millió Ft","jó állapotú","összkomfortos","nincs megadva","4","10","van","3 m-nél alacsonyabb","távfűtés","nincs megadva","egy helyiségben","nyugat","kertre néző","nincs megadva","nem tetőtéri","utca, közterület - ingyenes","1950-1980 között",NA,NA,NA,NA,"nincs megadva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","69 m²"," 3 ","58 millió Ft","felújított","luxus","nincs megadva","1","földszintes","nincs","3 m-nél alacsonyabb","gáz (cirko)","nem","külön helyiségben","délnyugat","utcai","nem","nem tetőtéri","udvari beálló - benne van az árban","1950 előtt",NA,"10 000 Ft/hó","3 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","85 m²"," 3 + 1 fél ","49,9 millió Ft","felújított","összkomfortos","nincs megadva","2","4","van","3 m vagy magasabb","gáz (cirko)","nincs megadva","külön helyiségben","nyugat","utcai","nincs megadva","nincs megadva","utca, közterület - fizetős övezet",NA,"van",NA,"7 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","52 m²"," 2 ","58,5 millió Ft","újszerű","összkomfortos","nincs megadva","5","6","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","igen","külön helyiségben","északkelet","kertre néző","nem","nem tetőtéri","teremgarázs hely - kötelező megvenni","2017","van","13 000 Ft/hó","18 m²","5 M Ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","42 m²"," 1 + 1 fél ","35 millió Ft","jó állapotú","összkomfortos","nincs megadva","3","4","nincs","nincs megadva","nincs megadva","nem","külön helyiségben","délkelet","udvari","nem","legfelső emelet, nem tetőtéri","utca, közterület - ingyenes",NA,NA,"12 000 Ft/hó","4 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","52 m²"," 2 ","35,5 millió Ft","jó állapotú","összkomfortos","nincs megadva","3","nincs megadva","van","3 m-nél alacsonyabb","távfűtés","nincs megadva","nincs megadva","délkelet","kertre néző","nincs megadva",NA,"nincs megadva","1981-2000 között",NA,NA,"5 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","50 m²"," 2 ","38,5 millió Ft","felújított","összkomfortos","nincs megadva","földszint","4","nincs","3 m-nél alacsonyabb","cserépkályha, gáz (konvektor)","nem","külön helyiségben","északnyugat","kertre néző","nem","nem tetőtéri","utca, közterület - ingyenes","1950-1980 között","van",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","81 m²"," 2 + 1 fél ","103 millió Ft","újszerű","luxus","nincs megadva","3","6","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","nincs megadva","külön és egyben is","délnyugat","kertre néző","nem","nem tetőtéri","teremgarázs hely - benne van az árban","2018","van",NA,"28 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","53 m²"," 2 ","37,9 millió Ft","felújított","nincs megadva","CC","földszint","földszintes","nincs","nincs megadva","elektromos","nincs megadva","külön helyiségben","dél","nincs megadva","igen","nincs megadva","önálló garázs - benne van az árban","1950-1980 között",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","74 m²"," 3 ","64,9 millió Ft","újszerű","összkomfortos","CC","2","3","nincs","3 m-nél alacsonyabb","házközponti egyedi méréssel","nincs megadva","külön helyiségben","délnyugat","kertre néző","nem","nem tetőtéri","teremgarázs hely - megvásárolható","2001-2010 között","van",NA,"8 m²","4 M Ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","94 m²"," 3 ","69,9 millió Ft","felújított","nincs megadva","nincs megadva","1","3","van","nincs megadva","házközponti egyedi méréssel","nincs megadva","külön és egyben is","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","2001-2010 között",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","54 m²"," 2 ","37,9 millió Ft","felújított","összkomfortos","nincs megadva","5","5","van","3 m-nél alacsonyabb","gáz (cirko)","nem","egy helyiségben","északnyugat","udvari","nem","legfelső emelet, nem tetőtéri","utca, közterület - fizetős övezet","1950 előtt","nincs","20 000 Ft/hó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","56 m²"," 1 + 2 fél ","31,5 millió Ft","felújított","összkomfortos","nincs megadva","10","10","van","3 m-nél alacsonyabb","távfűtés egyedi méréssel","nincs megadva","külön helyiségben","kelet","panorámás","nem","nincs megadva","utca, közterület - fizetős övezet","1950-1980 között",NA,NA,NA,NA,"részt vett",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","48 m²"," 2 ","32,9 millió Ft","felújított","összkomfortos","nincs megadva","2","4","nincs","3 m-nél alacsonyabb","gáz (konvektor)","nem","egy helyiségben","kelet","udvari","nem","nem tetőtéri","udvari beálló - benne van az árban","1950-1980 között","nincs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","51 m²"," 2 ","37,2 millió Ft","jó állapotú","összkomfortos","nincs megadva","3","4","nincs","3 m-nél alacsonyabb","gáz (konvektor)","nem","egy helyiségben","kelet","kertre néző","nem","nem tetőtéri","utca, közterület - fizetős övezet","1950-1980 között","nincs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","58 m²"," 2 ","33,5 millió Ft","jó állapotú","összkomfortos","nincs megadva","3","3","nincs","3 m-nél alacsonyabb","gáz (cirko)","nem","egy helyiségben","délnyugat","utcai","nincs megadva","nincs megadva","udvari beálló","1950 előtt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
