"","Alapterület","Szobák száma"," Hitelre van szükséged? Kalkulálj! ","Ingatlan állapota","Komfort","Energiatanúsítvány","Emelet","Épület szintjei","Lift","Belmagasság","Fűtés","Légkondicionáló","Akadálymentesített","Fürdő és WC","Tájolás","Kilátás","Kertkapcsolatos","Tetőtér","Parkolás","Építés éve","Rezsiköltség","Erkély","Parkolóhely ára","Panelprogram"," 220 000 € "," 109 510 € "," 80 880 € "," 97 330 € "," 69 540 € "," 97 150 € "," 76 000 € "," 118 000 € "," 178 250 € "," 69 180 € "," 71 470 € "," 195 690 € "," 193 860 € "," 220 090 € "," 144 900 € "," 103 640 € "," 250 000 € "," 208 000 € "," 140 000 € "," 83 050 € "," 74 930 € "," 222 290 € "," 107 700 € "," 72 620 € "," 64 440 € "," 84 430 € "," 85 550 € "," 82 790 € "," 221 850 € "," 73 880 € "," 77 480 € "," 81 330 € "," 80 370 € "," 66 450 € "," 91 860 € "," 86 210 € "," 73 770 € "," 144 330 € "," 95 990 € "," 58 260 € "," 85 870 € "," 138 070 € "," 111 610 € "," 158 310 € "," 24 000 € "," 88 720 € "," 73 940 € "," 173 330 € "," 61 580 € "," 117 790 € "," 108 980 € "," 271 350 € "," 97 450 € "," 111 800 € "," 76 140 € "," 61 070 € "," 74 470 € "," 81 670 € "," 125 570 € "," 109 200 € "
"296","46 m²"," 1 + 1 fél ","27,5 millió Ft","jó állapotú","nincs megadva","nincs megadva","8","10","van","3 m-nél alacsonyabb","távfűtés egyedi méréssel","nincs","nincs megadva","egy helyiségben","nincs megadva","utcai","nincs megadva","nem tetőtéri","utca, közterület - ingyenes","1950-1980 között",NA,NA,NA,"részt vett",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"297","41 m²"," 2 ","38 millió Ft","jó állapotú","összkomfortos","nincs megadva","1","4","nincs","3 m-nél alacsonyabb","gáz (cirko)","nincs","nem","egy helyiségben","nincs megadva","utcai","nem","nem tetőtéri","udvari beálló - benne van az árban","2001-2010 között","25 000 Ft/hó","6 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"298","63 m²"," 2 + 1 fél ","62 millió Ft","újszerű","nincs megadva","nincs megadva","földszint","nincs megadva","van","nincs megadva","nincs megadva",NA,"nincs megadva","külön helyiségben","nincs megadva","kertre néző","igen","nem tetőtéri","teremgarázs hely - benne van az árban","2001-2010 között",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"299","60 m²"," 2 ","41,9 millió Ft","felújított","összkomfortos","nincs megadva","1","2","nincs","3 m-nél alacsonyabb","gáz (cirko)","van","nem","külön helyiségben","délnyugat","nincs megadva","nem","nem tetőtéri","önálló garázs - kötelező megvenni","1981-2000 között",NA,"6 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300","52 m²"," 1 + 1 fél ",NA,"jó állapotú","nincs megadva","nincs megadva","1","4","nincs megadva","nincs megadva","nincs megadva",NA,"nincs megadva","külön helyiségben","nincs megadva","nincs megadva","nincs megadva","nincs megadva","udvari beálló",NA,"20 000 Ft/hó","3 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"36 millió Ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"301","44 m²"," 1 + 1 fél ","34,5 millió Ft","felújított","nincs megadva","nincs megadva","földszint","nincs megadva","nincs megadva","nincs megadva","gáz (cirko)",NA,"nincs megadva","egy helyiségben","nincs megadva","udvari","nincs megadva","nincs megadva","önálló garázs - benne van az árban",NA,"30 000 Ft/hó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"302","41 m²"," 1 + 1 fél ","26,5 millió Ft","jó állapotú","nincs megadva","nincs megadva","1","2","nincs megadva","nincs megadva","gáz (cirko)",NA,"nincs megadva","egy helyiségben","északnyugat","utcai","nincs megadva","nincs megadva","utca, közterület - fizetős övezet","1950 előtt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"303","68 m²"," 3 ","41,9 millió Ft","jó állapotú","nincs megadva","nincs megadva","9","10","van","nincs megadva","nincs megadva","van","nincs megadva","külön helyiségben","nincs megadva","nincs megadva","nincs megadva","nem tetőtéri","utca, közterület",NA,NA,"3 m²",NA,"részt vett",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"304","54 m²"," 2 ","40 millió Ft","jó állapotú","összkomfortos","nincs megadva","4","4","nincs","nincs megadva","gáz (cirko)","van","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","tetőtéri","utca, közterület","1950-1980 között",NA,"6 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"305","42 m²"," 1 + 1 fél ","34,2 millió Ft","felújított","összkomfortos","nincs megadva","1","4","nincs megadva","3 m-nél alacsonyabb","gáz (konvektor)",NA,"nincs megadva","külön helyiségben","nincs megadva","nincs megadva","nincs megadva","nincs megadva","utca, közterület - ingyenes","1950-1980 között",NA,"2 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"306","96 m²"," 4 ",NA,"újszerű","duplakomfortos","nincs megadva","földszint","4","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","van","igen","külön és egyben is","délkelet","kertre néző","igen","nem tetőtéri","nincs megadva","2001-2010 között",NA,"75 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"87,5 millió Ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"307","97 m²"," 4 ",NA,"felújított","duplakomfortos","CC","2","3","nincs megadva","3 m-nél alacsonyabb","gáz (cirko)","van","nincs megadva","külön és egyben is","északnyugat","panorámás","nincs megadva","legfelső emelet, nem tetőtéri","önálló garázs - kötelező megvenni","1981-2000 között",NA,"11 m²","3.9 M Ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74,9 millió Ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"308","48 m²"," 1 + 1 fél ","33 millió Ft","felújított","összkomfortos","nincs megadva","félemelet","4","nincs","3 m-nél alacsonyabb","házközponti","van","nem","egy helyiségben","nincs megadva","kertre néző","nincs megadva","nem tetőtéri","utca, közterület - fizetős övezet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"309","103 m²"," 2 + 2 fél ","67,5 millió Ft","felújított","duplakomfortos","nincs megadva","földszint","4","nincs megadva","nincs megadva","gáz (cirko)",NA,"nincs megadva","nincs megadva","nincs megadva","nincs megadva","nincs megadva","nem tetőtéri","nincs megadva","1981-2000 között",NA,"4 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"310","95 m²"," 4 ","68 millió Ft","újszerű","összkomfortos","nincs megadva","1","2","nincs","3 m-nél alacsonyabb","házközponti egyedi méréssel",NA,"nem","külön és egyben is","nincs megadva","udvari","nincs megadva","nincs megadva","udvari beálló - benne van az árban","2020",NA,"16 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"311","66 m²"," 1 + 2 fél ","32 millió Ft","jó állapotú","összkomfortos","nincs megadva","3","3","nincs","3 m-nél alacsonyabb","gáz (cirko)","nincs","nem","külön helyiségben","délnyugat","panorámás","nincs megadva","tetőtéri","utca, közterület - ingyenes","2001-2010 között","30 000 Ft/hó","5 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"312","86 m²"," 4 ","69,5 millió Ft","felújított","duplakomfortos","nincs megadva","félemelet","3","van","3 m vagy magasabb","elektromos, padlófűtés","van","nincs megadva","külön és egyben is","északkelet","utcai","igen","nincs megadva","udvari beálló - benne van az árban","1950 előtt","50 000 Ft/hó","14 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"313","117 m²"," 5 ","70,9 millió Ft","jó állapotú","összkomfortos","nincs megadva","3","3","nincs","3 m-nél alacsonyabb","gáz (cirko)","van","nem","külön és egyben is","kelet","panorámás","nem","legfelső emelet, nem tetőtéri","nincs megadva","1981-2000 között","25 000 Ft/hó","4 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"314","63 m²"," 2 + 1 fél ",NA,"újszerű","összkomfortos","nincs megadva","3","3","nincs","3 m-nél alacsonyabb","házközponti egyedi méréssel",NA,"nem","nincs megadva","nyugat","kertre néző","nem","nem tetőtéri","önálló garázs - megvásárolható","2001-2010 között",NA,"4 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"49,8 millió Ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"315","64 m²"," 2 ","53 millió Ft","felújított","összkomfortos","nincs megadva","2","nincs megadva","van","3 m-nél alacsonyabb","házközponti egyedi méréssel",NA,"nincs megadva","külön helyiségben","nyugat","utcai","nem","nincs megadva","teremgarázs hely - benne van az árban","2001-2010 között",NA,"8 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"316","66 m²"," 3 ","49,9 millió Ft","jó állapotú","összkomfortos","nincs megadva","4","7","van","3 m-nél alacsonyabb","házközponti egyedi méréssel","nincs","nem","külön helyiségben","délnyugat","udvari","nem","nem tetőtéri","teremgarázs hely - kötelező megvenni","2001-2010 között",NA,"9 m²","5 M Ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"317","52 m²"," 2 + 1 fél ","38,4 millió Ft","felújított","duplakomfortos","nincs megadva","1","3","nincs","3 m-nél alacsonyabb","házközponti egyedi méréssel","van","nincs megadva","külön helyiségben","nincs megadva","utcai","nem","nincs megadva","utca, közterület - ingyenes","1950-1980 között","40 000 Ft/hó","1 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"318","75 m²"," 3 ","48,9 millió Ft","jó állapotú","összkomfortos","nincs megadva","3","3","van","3 m-nél alacsonyabb","gáz (cirko)","nincs","nincs megadva","külön helyiségben","nincs megadva","kertre néző","nincs megadva","tetőtéri","utca, közterület","2001-2010 között",NA,"3 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"319","61 m²"," 3 ","52,88 millió Ft","újszerű","duplakomfortos","nincs megadva","3","5","van","nincs megadva","házközponti egyedi méréssel",NA,"nincs megadva","nincs megadva","nincs megadva","udvari","nincs megadva","nincs megadva","teremgarázs hely - megvásárolható","2020",NA,"11.5 m²","3.3 M Ft",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"320","130 m²"," 1 + 5 fél ","135 millió Ft","felújított","összkomfortos","nincs megadva","3","nincs megadva","nincs","3 m-nél alacsonyabb","gáz (cirko)","van","nincs megadva","külön helyiségben","délnyugat","kertre néző","nem","nem tetőtéri","nincs megadva","2001-2010 között",NA,"17 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"321","51 m²"," 2 ","33,9 millió Ft","felújított","összkomfortos","nincs megadva","4","4","nincs","nincs megadva","gáz (konvektor), elektromos",NA,"nincs megadva","külön helyiségben","délnyugat","nincs megadva","nincs megadva","nincs megadva","utca, közterület","1950-1980 között","12 000 Ft/hó","4.2 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"322","46 m²"," 1 + 1 fél ","24 millió Ft","jó állapotú","összkomfortos","nincs megadva","10","10","van","nincs megadva","házközponti egyedi méréssel","van","igen","egy helyiségben","nincs megadva","panorámás","nem","nem tetőtéri","utca, közterület - ingyenes","1981-2000 között","15 000 Ft/hó",NA,NA,"nincs megadva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"323","48 m²"," 1 + 1 fél ","28,99 millió Ft","jó állapotú","összkomfortos","nincs megadva","2","nincs megadva","nincs","3 m-nél alacsonyabb","gáz (konvektor)",NA,"nincs megadva","külön helyiségben","délnyugat","utcai","nincs megadva","nem tetőtéri","utca, közterület - ingyenes","1950-1980 között",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"324","63 m²"," 3 ","35,9 millió Ft","felújított","összkomfortos","nincs megadva","földszint","nincs megadva","nincs megadva","3 m vagy magasabb","gáz (konvektor)",NA,"nincs megadva","nincs megadva","északkelet","udvari","nincs megadva","nincs megadva","nincs megadva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"325","108 m²"," 3 + 1 fél ","57 millió Ft","jó állapotú","duplakomfortos","nincs megadva","2","2","nincs","3 m-nél alacsonyabb","gáz (cirko)",NA,"nincs megadva","egy helyiségben","délkelet","utcai","nincs megadva","tetőtéri","nincs megadva","1950-1980 között",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"326","61 m²"," 2 ","45 millió Ft","jó állapotú","összkomfortos","nincs megadva","2","2","nincs","3 m vagy magasabb","gáz (cirko), padlófűtés",NA,"nem","külön helyiségben","nincs megadva","nincs megadva","nincs megadva","nem tetőtéri","nincs megadva",NA,"28 000 Ft/hó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"327","62 m²"," 2 ","45 millió Ft","jó állapotú","összkomfortos","nincs megadva","2","2","nincs","3 m-nél alacsonyabb","gáz (cirko)",NA,"nincs megadva","külön helyiségben","kelet","utcai","nincs megadva","nem tetőtéri","utca, közterület - fizetős övezet","1950 előtt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"328","46 m²"," 1 + 1 fél ","27,2 millió Ft","jó állapotú","összkomfortos","nincs megadva","4","10","van","3 m-nél alacsonyabb","távfűtés egyedi méréssel","van","nincs megadva","egy helyiségben","nyugat","udvari","nem",NA,"utca, közterület - ingyenes","1950-1980 között",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"329","97 m²"," 3 + 1 fél ","57 millió Ft","jó állapotú","duplakomfortos","nincs megadva","2","nincs megadva","nincs","3 m-nél alacsonyabb","gáz (cirko)",NA,"nincs megadva","nincs megadva","délkelet","utcai","nincs megadva","zárószint","nincs megadva","1950-1980 között",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"330","30 m²"," 1 ","23,99 millió Ft","jó állapotú","összkomfortos","nincs megadva","1","3","nincs","3 m-nél alacsonyabb","házközponti egyedi méréssel","nincs","nem","egy helyiségben","kelet","utcai","nem","nem tetőtéri","utca, közterület - ingyenes","2001-2010 között","15 000 Ft/hó","4 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"331","63 m²"," 3 ","35,9 millió Ft","felújított","összkomfortos","nincs megadva","földszint","nincs megadva","nincs megadva","3 m vagy magasabb","gáz (konvektor)",NA,"nincs megadva","nincs megadva","nincs megadva","kertre néző","nincs megadva","nincs megadva","nincs megadva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"332","82 m²"," 3 ","63 millió Ft","felújított","összkomfortos","nincs megadva","1","4","nincs","3 m-nél alacsonyabb","gáz (cirko)",NA,"nincs megadva","külön helyiségben","nincs megadva","kertre néző","nem","nem tetőtéri","teremgarázs hely - megvásárolható","2001-2010 között",NA,"15 m²",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"333","20 m²"," 1 ","19,9 millió Ft","jó állapotú","nincs megadva","nincs megadva","szuterén","nincs megadva","nincs megadva","3 m-nél alacsonyabb","elektromos",NA,"nincs megadva","nincs megadva","kelet","udvari","nincs megadva","nem tetőtéri","nincs megadva","1950 előtt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"334","45 m²"," 1 + 1 fél ","29,9 millió Ft","felújított","nincs megadva","nincs megadva","1","4","van","3 m vagy magasabb","elektromos",NA,"nincs megadva","nincs megadva","kelet","udvari","nincs megadva","nincs megadva","nincs megadva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
